"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"珈璃蹲","男","无IP","7968307","6","原神","10000","476","","虽然没看到周深，但希望能有Rubia，崩三只要是符华全都摁养，那会《渡尘》看上仙回忆的步伐那段我哭的跟条狗似的[崩坏3_哭哭],还有，是不是该到我月轮加强了[崩坏3_点赞]"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","1926","12","我超！全明星阵容！！！[热词系列_芜湖起飞],我永远喜欢崩坏3.jpg"
"拿弓子的波塞东","保密","无IP","504090336","6","","10000","261","","到时候和大家一起看！"
"冬日的翅膀","保密","无IP","10259292","6","崩坏3·天穹流星","10000","794","11","周深，萨顶顶，三无，还有孙晔老师都没来呀，那希儿，符华，后蹦的歌是不是只能放CD了呀[doge],话说咋不把泠鸢请来唱一下星与你消失之日呢，我还挺喜欢这首歌的[doge]"
"溜波波","保密","无IP","143254113","6","","10000","1925","7","好家伙10月初是你们米哈游主场吧，原神音乐会，崩三同人电影，崩三音乐会[思考]"
"账号已注销","保密","无IP","237568769","0","","5000","1886","","一：FlyMe2theMoon,二：崩坏学园,三：崩坏学园2,四：崩坏3rd,五：未定事件簿,六：原神,七：崩坏星穹铁道,八：崩坏4:银河,一开始的作品无人知晓，后来的作品就一个比一个影响力大，感觉将来的还会更离谱[笑哭]"
"未完结和有生之年","保密","无IP","102735389","6","","10000","305","","有一说一我觉得崩坏3的歌更加让人感动，原神的可能更加高级更加牛逼但还是崩坏3的歌让人想要反复循环，更加让人喜欢"
"HentoBass","男","无IP","23716068","6","","10000","437","","有幸参演担任bass手，老舰长们线上见"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","3310","","隔壁送来一头狼，这边回赠隔壁一群千人律者，这波叫礼尚往来[藏狐]"
"言狼","保密","无IP","37708132","6","","10000","6019","","那个...就是那个...就处处傻我能在舞台上听见吗？就fa玲穿着魔法少女的粉色小裙子，手里拿着魔法棒然后在舞台上又蹦又跳，唱处处傻的那种情景，我能看到吗[藏狐]"
"赤色黎明WY","保密","无IP","431071058","5","","10000","2934","","从开始接触米家的游戏起，就发现一会儿崩三被黑，一会儿原神被黑，现在三蹦子好不容易安宁了，原神又开始乱了，同样的套路，看多了就腻了"
"这怕是个假昵称","男","无IP","205969165","6","2233十一周年纪念","10000","3","","没有唱rubia的周深啊[藏狐]还是会有遗憾吧,不过全大佬阵容也很棒[打call]"
"跳脱的刺猬","男","无IP","88745754","6","hanser","10000","16","","按时间顺序找什么呢，旅长[脱单doge]"
"书墨星辰","保密","无IP","36994818","6","崩坏3·天穹流星","10000","3157","10","双方是原神对战崩坏三，让我们看看究竟是五年加成优势，还是巨大规模厉害，敬请期待接下来的音乐会：米家内战[藏狐]"
"shinano信浓","男","无IP","3095471","6","原神","10000","864","","这是真·大的要来了[藏狐]"
"不可思议的车车","保密","无IP","1123946883","5","","10000","3","","10月5号我们还要上课，这就很真实。。。。。。。[大哭][大哭][大哭][大哭][大哭]"
"幽幽子级恐暴龙二号舰","保密","无IP","3266947","6","雪未来","10000","6936","","马德，一家人围一桌吃饭然后琪亚娜的电话就来了，然后全家人都在追问琪亚娜是谁，本来家里人就催着赶紧找对象，现在直接抹不清了[笑哭]"
"可爱又迷人的御坂妹妹","保密","无IP","10865177","6","","10000","1598","","立个flag，5年后我一定要学会用琵琶弹《崩坏世界的歌姬》！！！！！！！！"
"懒懒澜秋","男","无IP","14428762","6","","10000","132","9","五年了，很感谢米哈游还能够这么用心的对待这款游戏，我在生活中是一个普通的不能再普通的玩家，但我很感谢这款游戏能一直陪着我走来这些年。谢谢米哈游能带来这么好的一切，为世界上所有的美好而战。星火辉烁，织梦成歌，期待十月五日晚上。[打call]"
"Memememememe6","保密","无IP","374763688","5","","10000","127","6","十月五号刚好是我的生日，这就是崩三给我的生日礼物吗[热词系列_知识增加]感谢！！！"
"游戏彩笔","男","无IP","1320581","6","","10000","1220","25","太好了！！！[打call]"
"龙系","男","无IP","482535920","5","","10000","1118","","淦饭永存，崩坏原神！"
"先手喷子-概率串子","保密","无IP","323661145","6","","10000","1101","","崩三：你的节奏结束了，轮到我了，没意见吧？[doge]"
"我想开摆捏","保密","无IP","478017901","5","","10000","1091","","3号原神音乐会，5号崩三音乐会，这是过年了啊[打call][打call][打call]"
"独角鲸d","保密","无IP","402377655","5","","10000","1019","","原神：三姐，你一直都是这样！为了原神的流水，为了保护mhy的计划，将所有的节奏都全部榄在自己身上……,崩三：五妹，这是…我的使命。,原神：可是，你要我如何忍受这一切，你拯救了我拯救了大家，却要独自承担所有的痛苦，甚至付出生命！,原神：如果拯救你是一种罪，就由我来承担所有的罪责！,崩三：五妹，不要！,原神：在我心里，比起流水，你更重要！"
"sxip","保密","无IP","353452614","6","泠鸢yousa登门喜鹊","10000","1013","10","hanser双马尾跳舞嘿嘿[hanser_滑稽]"
"枫糖浆Alice","女","无IP","14631438","6","星座系列：水瓶座","10000","923","","以普遍理性而言，好耶，音乐会很期待呢。"
"shinano信浓","男","无IP","3095471","6","原神","10000","864","","这是真·大的要来了[藏狐]"
"冬日的翅膀","保密","无IP","10259292","6","崩坏3·天穹流星","10000","794","11","周深，萨顶顶，三无，还有孙晔老师都没来呀，那希儿，符华，后蹦的歌是不是只能放CD了呀[doge],话说咋不把泠鸢请来唱一下星与你消失之日呢，我还挺喜欢这首歌的[doge]"
"梦孤伤","保密","无IP","483596133","5","","10000","632","","很好奇 隔壁原神  一场演唱会比不上那几个石头嘛[原神_哼][原神_哼]"
"天音琳","保密","无IP","28875321","6","","10000","605","","隔壁四妹一出事就疯狂发动态的三姐是屑[doge]"
"热心市民黄师傅000","男","无IP","185874798","6","","10000","591","","崩坏35周年快乐[打call]"
"派蒙干净又卫生","保密","无IP","341576349","6","","10000","546","","对比隔壁原神，咱这和过年一样[doge]"
"麻花不是麻瓜哒","保密","无IP","49489558","6","","10000","485","","周深档期是挤不出来么？还是太火了啊？可惜"
"珈璃蹲","男","无IP","7968307","6","原神","10000","476","","虽然没看到周深，但希望能有Rubia，崩三只要是符华全都摁养，那会《渡尘》看上仙回忆的步伐那段我哭的跟条狗似的[崩坏3_哭哭],还有，是不是该到我月轮加强了[崩坏3_点赞]"
"HentoBass","男","无IP","23716068","6","","10000","437","","有幸参演担任bass手，老舰长们线上见"
"bili_513528367","保密","无IP","513528367","5","","10000","432","","大家好，我是米批"
"藤原坚果","男","无IP","38453374","6","空调承太郎","10000","359","","宅家的云观众来了[藏狐]"
"帝弓信徒小车车","保密","无IP","262855917","5","崩坏3·天穹流星","10000","352","","还是崩崩崩老家这边热闹，原神那边一群逆天把周年庆整得乌烟瘴气的[笑哭]林子大了，他喵的什么鸟都有[捂脸]"
"半面狐者","男","无IP","227721758","6","洛天依9th生日纪念","10000","319","10","原神：“谢谢你，崩坏三……”“流水我就放这了，节奏即将结束，我要回去了。” “下次见再面，不知又是何时了。”,崩坏三：“等一下，原神！”“也许，也许还有其他办法！”,原神：“或许吧，但，我已经没时间了…..”（看着原神渐渐消失的身影，崩坏三握紧了拳头）,崩坏三：“够了，又是这样！”  “用节奏换来的流水….” “我无法接受！”  “把原神，还给我！”,原神：“我经历了太多的欺骗和背叛，刚开服被水军玩弄于鼓掌”（tx：塞  120  cj  不去）,崩坏三：“原神，我绝对不会欺骗你！”,原神：“我信任的人，也不会一直帮助我”（mvb/mh叠加态：对不起原神，这次我也要骂你！）,崩坏三：“我结晶了！，不用担心我会反水！”,原神：“不论怎么努力，都挡不住流水的下滑““最后，我还是孤单一人”,崩坏三：“我不会让你，孤单一人的！”,（崩坏三向原神追去，边跑边伸出手。原神停下，转过身）,原神：“崩坏三？你怎么会在这？要是你再出节奏的话”,（崩坏三一把抓住原神）,崩坏三：“啰嗦”  “那我就再出一个S角色来！想从我身边逃走，门都没有！”,（转自QQ群一位腼腆的群友）"
"未完结和有生之年","保密","无IP","102735389","6","","10000","305","","有一说一我觉得崩坏3的歌更加让人感动，原神的可能更加高级更加牛逼但还是崩坏3的歌让人想要反复循环，更加让人喜欢"
"砼囲庝浵哃","男","无IP","375258301","6","","10000","293","11","[原神_小事一桩][原神_唔][原神_躺平][原神_哦][原神_哭哭][原神_救救我][原神_警觉][原神_交给我吧][原神_哼哼][原神_给我走开][原神_鸽子][原神_干杯][原神_该吃饭了][原神_出货吧][原神_吃惊][原神_不要啊][原神_拜托][原神_zzZZ][原神_good job][原神_1摩拉]我的内心"
"芽衣芽衣芽衣芽","保密","无IP","17713144","6","","10000","290","6","氪佬648砸出来的音乐，狠狠地听"
"赤穹丶","保密","无IP","355821131","6","","10000","262","","我等不及看hanser扎双马尾跳舞了[滑稽]"
"拿弓子的波塞东","保密","无IP","504090336","6","","10000","261","","到时候和大家一起看！"
"SouthN","保密","无IP","498976593","5","","10000","257","","可惜没有萨顶顶，不然看到国家队来二次元游戏演唱会。想想就挺带感的[吃瓜]"
"名非名","男","无IP","38727543","5","","10000","251","","知道为什么说到快乐的时候用琪亚娜喝可乐吗？,因为他们也就能找到这个画面跟快乐搭边了[辣眼睛]"
"o冰雪殇璃陌梦o","保密","无IP","1517173452","5","","10000","234","","干翻内存，崩坏原神,[doge],[藏狐],[tv_doge],https://b23.tv/BV1oA411H7Uu"
"妈妈说名字取长点才不像打酱油的","保密","无IP","37617766","6","崩坏3·天穹流星","10000","179","","派蒙对爱酱说：我将坠入黑暗，换你回到光明[热词系列_知识增加]"
"氪金等于变弱","保密","无IP","399387343","5","碧蓝航线","10000","163","","办音乐会不比发十连强多了[doge]"
"浅草若葉","保密","无IP","34566324","6","琉晶之礼","10000","157","17","在隔壁一提音乐会，马上就有：,能花大价钱弄音乐会，却不给多点福利？,这种嘴角已经看清了[藏狐]"
"霍宝Moira","保密","无IP","12344893","6","星座系列：双鱼座","10000","153","10","爆炸期待[崩坏3_吃饭团]"
"懒懒澜秋","男","无IP","14428762","6","","10000","132","9","五年了，很感谢米哈游还能够这么用心的对待这款游戏，我在生活中是一个普通的不能再普通的玩家，但我很感谢这款游戏能一直陪着我走来这些年。谢谢米哈游能带来这么好的一切，为世界上所有的美好而战。星火辉烁，织梦成歌，期待十月五日晚上。[打call]"
"Memememememe6","保密","无IP","374763688","5","","10000","127","6","十月五号刚好是我的生日，这就是崩三给我的生日礼物吗[热词系列_知识增加]感谢！！！"
"乱打球的cp3","男","无IP","319465597","5","异常生物","10000","117","7","音乐节，好,策划，爬[doge]"
"萤小烛","女","无IP","18723042","6","EveOneCat2","10000","114","","就是你mhy想安排我整个国庆假期是吧[脱单doge]"
"NekoPassにゃ","男","无IP","12663879","6","","10000","107","","点开前 崩坏三『星...,卧槽 星穹轨道!,点进来,......,淦"
"卓妙柏","保密","无IP","389502317","5","","10000","102","","崩坏三你就是歌姬吧[傲娇]"
"九亿少女梦------","保密","无IP","1321492474","5","","10000","101","10","真棒，10.5我成年"
"麻濑红莉栖","保密","无IP","227506668","6","崩坏3·天穹流星","10000","101","10","军训的时候听，从reburn开始听[OK],一开始是在抖腿，边听边抖[干杯],向后听，对最后一课已经有了耐性[原神_喝茶],Rubia，已经不敢动了[捂脸],Moon  Halo,身体已经在微微颤抖，头已经抬不起来了，怕别人看见军训队伍中一个人莫名其妙就泪目了[拥抱],5年，跨越初中高中，如今已步入大学，感谢一路走来的陪伴，希望所有美好被守护，落在她们和我们的身上[拥抱]"
"sxip","保密","无IP","353452614","6","泠鸢yousa登门喜鹊","10000","95","10","hanser双马尾跳舞嘿嘿[hanser_滑稽]"
"不甜贩卖机","保密","无IP","473853987","6","","10000","94","","把开头的皮肤出了吧，刚好三个律者[脱单doge]"
"神里家的神里大小姐","女","无IP","195237248","6","hanser","10000","81","3","我永远爱崩三！"
"檐语_Yanyu","男","无IP","25304553","5","","10000","74","","崩崩崩和原魔谁先出大电影谁就赢了[吃瓜][吃瓜][吃瓜]"
"孤寂凡尘卐Nidhoggr","保密","无IP","445010581","5","巅峰荣耀","10000","68","","好家伙，这波是真的大啊，演唱者亲自参演，三蹦子你隐藏的挺深啊[吃瓜]"
"花园包包cccc","保密","无IP","1773068006","5","hanser","10000","64","","现在压力来到了崩三这里[doge]"
"數據錯亂","保密","无IP","345600160","5","崩坏3·天穹流星","10000","60","","Hanser跳舞。。。嘿嘿。。。Hanser。。。嘿嘿。。。双马尾。。。嘿嘿。。。"
"夕榽溪","男","无IP","45190196","6","崩坏：星穹铁道","10000","47","11","原神的曲子是多方面的，崩崩崩的曲子偏向燃曲跟催泪曲，我直接梭哈崩崩崩。干翻原神，崩坏永存！[Cat2_Boom!][Cat2_Boom!][Cat2_Boom!]"
"要不还是改个名吧","男","无IP","18087185","6","初音未来13周年","10000","47","10","估计周深太忙了[崩坏3_叹气],唯一的男歌手啊[大哭][doge][doge]"
"啊Siko酱","保密","无IP","448762274","6","#EveOneCat","10000","40","","你们家的音乐是真的好听，pv都能让我听几百遍[笑哭]"
"鸽鸣三声泪沾裳","保密","无IP","49950850","6","","10000","37","","ohhh，刚才接到琪亚娜的电话了，她说她厨艺进步了，她叫我去尝尝她的新菜！！！[热词系列_好耶][崩坏3_快乐]"
"专业de死宅","男","无IP","171349567","6","","10000","30","","演唱会来了，大电影还会远吗[tv_doge]"
"普莱昂","保密","无IP","5357122","6","","10000","28","","[doge]哟！鲨累了来喝杯茶[干杯]"
"Hanasake","保密","无IP","40952181","6","神乐七奈","10000","26","","快给我出这3个皮肤[崩坏3_GKD]"
"黑胡椒牛排不回家","男","无IP","182391004","5","","10000","23","","3号原神，5号崩三，我要爽上天了[打call][打call]"
"无气碳酸","女","无IP","126004491","5","异常生物","10000","22","4","问录播的大家 飞鱼丸昨天说啦[原神_哇]：,感谢舰长对「星火流音」纪念演出的关注和支持！为了把演出过程更完美地呈现出来，我们正在对演出现场的18个机位录制画面进行后期制作，最终上传的将为4K高清版本，包含一些直播时舰长没有看到的精彩镜头~预计演出录像将在11月左右上传，届时请舰长关注 @崩坏3第一偶像爱酱"
"02Sumire","保密","无IP","23371014","6","崩坏3·天穹流星","10000","22","11","[崩坏3_干杯][崩坏3_干杯][崩坏3_干杯],今晚先买一个OST嗷xdm！！！,已经加入购物车了(O)"
"posible夢","男","无IP","355533212","6","","10000","20","","我hanser自己的演唱会都还没有盼来，然后就突然杀出了MHY的[蛆音娘_大笑]（盼星星盼月亮崩三终于有演唱会了！）"
"滞留休伯利安的旅行者","保密","无IP","352127526","5","崩坏3·天穹流星","10000","18","","会发录播吗？高三学生，看不了直播啊！！[捂脸][捂脸][捂脸][捂脸][捂脸][大哭][大哭][大哭][大哭]"
"春水草色向南深","男","无IP","400985314","5","","10000","17","7","果然猴子又出来了[辣眼睛]"
"跳脱的刺猬","男","无IP","88745754","6","hanser","10000","16","","按时间顺序找什么呢，旅长[脱单doge]"
"巴拉巴拉圈","女","无IP","3992332","6","","10000","16","","看见有评论说,（看到有一条弹幕说“不如一张十连的”，感觉他玩的崩坏三是不完美的，有点可怜）,我就想说，怎么这人比我还孝，你塌马不要十连我要。[藏狐][藏狐][藏狐]"
"风之度丶宏一","男","无IP","86056299","6","良辰美景·不问天","10000","16","","真 《崩坏世界的歌姬》[脱单doge]"
"舂葵","保密","无IP","321904674","5","","10000","15","","太激动了确实是挺感动的"
"ほしのあずさ丶","保密","无IP","603290491","5","#EveOneCat","10000","15","","hanser双马尾，嘿嘿嘿"
"德意志的春晓","男","无IP","357087311","5","","10000","14","6","这里的气氛好和谐，我在隔壁完全说不过他们，毕竟生物打不过机械啊[脱单doge]"
"灰原布朗尼","男","无IP","344602683","6","hanser","10000","14","","扎双马尾跳舞的hanser，好耶[hanser_冲鸭][hanser_冲鸭][hanser_冲鸭]"
"15是个学生","男","无IP","1174374134","5","","10000","12","","这里说下，原神玩家们，你们要退坑和冲米哈游都无所谓，但别扯我们崩坏三，我们崩坏三怎么样不用你们操心，各有各的路，大家相安无事，但如果要把崩坏三拖下去，那不好意思了，哪怕我们崩坏三玩家敬重以前的旅行者，也会跟你们拼命的，我把话放在这，人与人之间互相尊重[微笑]"
"树恩嘟嘟","男","无IP","244253331","6","","10000","11","","录播不会没有吧，不会吧，求求了官方录播画质高，还有很多发预告时没通知到的人会来捧场怎么能还没有呢，官方录播啊"
"星辰中的ta","男","无IP","297744904","5","","10000","11","","崩坏三原神都有音乐会压阵，但是原神音乐会被自家的狗背刺了,原神就送个十连，崩坏三送15发，还有抽十返五buff加成(没攒水就抽出一套，外加理律魔法少女)还有餐厅活动加持，各种材料打折扑面而来，反观原神8w摩拉30个矿也拿的出来，最后狼狈不堪补发十抽，然而还是碰不过崩崩崩,这波已经是淦翻原神，崩三永存了舰长们[doge]"
"沾衣稔雪古月娜","女","无IP","402421039","5","崩坏3·天穹流星","10000","11","","兄弟们，我宣布个事，其实我就是一个 , , , , , , , , , , , , ,  ,, ,“立雪，只能陪您到这里了”,符华:我经历过的背叛太多，信任我的人也都被殃及，无论怎么样都挡不住岁月的流逝(上仙的记忆在岁月的冲刷下已记不清曾经友人的模样，友人丹朱苍玄因无法继续陪伴赤鸢而所赠予的苍玄之书也在陪伴上仙千年后睡去……自始至终终是孤身一人),克莱因:她是纯粹的存在，纯粹的探求者，纯粹的……恶 但也许正是因为在末世之中，这样的【恶】才是可以存在吧 博士并不想要理解者，她想要的只有答案,梅比乌斯:一份曾经的存在，催生出了新的生命 而她又将以这份存在为基石，在这个世界上继续前行 这或许就是人类称之为【进化】的旅途又未尝不是一种【答案】呢，克莱因?再见了……我的【理解者】 ,姬子:琪亚娜，我已经没有什么可以教你的了。因为不管前方遇见了怎样的困难，你都能战胜它们。你都能做出正确的选择。我永远相信你。 ,姬子温柔的注视着你，不再言语 , ,兄弟们，不用谢我不用太热情[藏狐]"
"寒_蝉","男","无IP","3778372","6","多多poi","10000","11","10","所有人都是本人出场  唯独hanser是个立绘[辣眼睛]"
"幽夜无梦","保密","无IP","251990658","6","","10000","11","","有一说一崩三这边的周年真的比元神那边有味道多了。"
"姬子老师","保密","无IP","30419089","6","","10000","11","","尚雯婕[打call][打call]"
"堕落rap主0_o","保密","无IP","356380518","6","","10000","11","4","应该是有rubia的吧，是吧[藏狐]。可是演出人员好像没有周深啊。。。"
"Tivvvv_","保密","无IP","40271508","6","至尊戒","10000","11","1","这就是hanser的双马尾录舞吗？[hanser_冲鸭]"
"司壹7997","保密","无IP","14143496","6","原神","10000","10","","那一年是原神对战崩三…………,我只恨未定不能偷家[doge]"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","10","12","以下曲目按时间顺序排序——,《Reburn》:出自动画短片《Reburn》。作词 : 夏轶瀚Sya，作曲 : 蔡近翰Zoe，演唱者:@茶理理理子 ,  《》,《Befall》:出自动画短片《女王降临》。作词 : 尹纯青Eyn，作曲 : 蔡近翰Zoe，编曲 : 郑宇界JODODO，演唱者:@尚雯婕Laure ,  《Nightglow》:出自动画短片《最后一课》。作词 : 尹纯青Eyn，作曲 : 蔡近翰Zoe，编曲：宫奇Gon/Luna Safari，演唱者:蔡健雅,  《Cyberangel》:出自动画短片《天使重构》。作词 : 尹纯青Eyn/Applebeetle，作曲 : 蔡近翰Zoe，编曲：宫奇Gon，演唱者:@hanser ,  《Dual–Ego》:出自动画短片《希儿》。作词 : @TetraCalyx ，作曲 : 蔡近翰Zoe，编曲：宫奇Gon，演唱者:@萨顶顶 ,  《Oaths》:出自国产游戏崩坏3「后崩坏书」主题曲。作词 : 尹纯青Eyn/Applebeetle/宫奇Gon，作曲 : 宫奇Gon，编曲：宫奇Gon，演唱者:@三无Marblue @孙晔Gary ,  《Starfall》:出自动画短片《天穹流星》。作词 : TetraCalyx，作曲 : 蔡近翰Zoe，编曲：宫奇Gon，演唱者:@圆宵节 ,  《崩坏世界的歌姬》:出自动画短片《罪人挽歌》。作词 : 夏轶瀚 Sya，作曲 : 蔡近翰Zoe，编曲：宫奇Gon，演唱者:@小林未郁miccabose ,  《Rubia》:出自动画短片《渡尘》。作词 : TetraCalyx，作曲 : 蔡近翰Zoe，编曲 : 宫奇Gon/杨启翔Frex，演唱者:@卡布叻_周深 ,  《Moon Halo》，作词 : @TetraCalyx ，作曲 : 蔡近翰Zoe/TetraCalyx，编曲 : 宫奇Gon，演唱者:@茶理理理子 @TetraCalyx @hanser   ,hoyomix永远滴神！崩坏三永远滴神！！！[崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲][崩坏3_特效]"
"善良的皓辰","男","无IP","14677949","6","2021拜年纪","10000","10","6","双马尾hanser，好耶[doge]"
"鲮鲤麟","保密","无IP","237447169","6","","10000","10","6","[热词系列_好耶]"
"天理奉行","保密","无IP","508057829","5","","10000","9","","原神：三姐，你一直都是这样！为了原神的流水，为了保护mhy的计划，将所有的节奏都全部榄在自己身上…… ,崩三：五妹，这是…我的使命。, 原神：可是，你要我如何忍受这一切，你拯救了我拯救了大家，却要独自承担所有的痛苦，甚至付出生命！, 原神：如果拯救你是一种罪，就由我来承担所有的罪责！ ,崩三：五妹，不要！, 原神：在我心里，比起流水，你更重要！ ,转发的 [滑稽] 收起"
"要热死了啊","保密","无IP","45356376","6","","10000","9","7","刚杀了只，再蹲一只[doge]"
"同袍御尘","保密","无IP","122020874","6","","10000","9","","卑微问问各位大佬，这个直播会发录播吗？时间有点尴尬，估计我正在自习[tv_笑哭]"
"狐狸成精天理不容","保密","无IP","136284843","6","琉晶之礼","10000","9","9","干翻原神崩坏永存！[崩坏3_特效][崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲]"
"雾雨艾拉","保密","无IP","10024854","6","雪未来","10000","8","","等录播，不过看过直播专业歌手现场都很稳，修音不费劲了，音频这方面应该是轻松点。导播的话差评，没观众还总是切远景，总是看一堆大伟哥的光头[doge]"
"粉红星急眼了","男","无IP","484810121","5","","10000","8","","防沉迷系统升级了，所以触摸系统……[doge][doge][doge]"
"憨豹嘎ya","男","无IP","45262884","6","白神遥","10000","8","10","兄弟们，要小心了，原神节奏过去了，感觉三姐这里可能会出事，希望我是多虑吧[崩坏3_叹气]"
"Ctro233","保密","无IP","220143612","6","崩坏3·天穹流星","10000","8","","亲爱的崩宝，你已经一整天没有发任何动态了，你知道我这每隔几个小时看一次是这么过来的吗"
"不惹事也不怕事的维哥","保密","无IP","274413722","6","崩坏3·天穹流星","10000","8","3","给孩子们都刀傻了。。。算了，为了逗大家开心，我立个flag，如果崩3干翻原神，我就cos八重樱！如果原神干翻崩3，我就cos刻晴！说到做到！如果崩2偷家，当我没说[doge][doge][doge][doge][doge][doge][doge]"
"瞿塘西陵","保密","无IP","383073345","5","","10000","8","","风平浪静的评论区[藏狐]"
"承天寺張怀民","男","无IP","396278251","5","","10000","8","","怎么没看到有啊[藏狐]"
"烤箱_","女","无IP","385851524","5","hanser","10000","8","","不懂就问，请问是有hanser扎双马尾跳舞吗[脱单doge][脱单doge]"
"时间之类","保密","无IP","86123717","6","","10000","8","","省流助手：[崩坏3_特效][崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲]"
"神州平板258","男","无IP","86619632","6","","10000","8","","原来hanser被mhy要求跳舞是这个啊[doge]"
"小可xk","保密","无IP","2224595","6","","10000","7","","录播呢？？？？"
"打青雀的琼玉牌","保密","无IP","388730047","5","","10000","7","","所以说，爱酱你是把我们的录播当晚餐吃掉了吗，隔壁原宝当时就把录播放出来了，你这不行啊堂堂崩坏三第二偶像还干不过一只应急食物嘛[doge]"
"饿青","保密","无IP","267350179","5","","10000","7","","我朋友是mhy内部人员，这次是提前调试所以要密码能提前看现场调试情况，已经从我朋友得知密码，密码是114514，不客气"
"每天被自己可爱醒","保密","无IP","17084343","5","公主连结可可萝","10000","7","","好像有点明白为啥原神周年庆一点感觉都没有了[doge]"
"秋水Y_","男","无IP","325663985","6","良辰美景·不问天","10000","7","","这就是hanser说的被mhy强迫跳舞吧[doge]"
"凌迟止戈","男","无IP","161166291","5","","10000","7","","你不得也送个啥翅膀意思意思吗[doge]"
"沧泠c","保密","无IP","5872604","6","","10000","7","","这不直接把隔壁原神干的渣渣都不剩了？原神周年庆只有广告，只有广告哈哈哈"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","7","25","[崩坏3_干杯]经费在燃烧"
"-栗悟饭与龟功波-","保密","无IP","424121","6","","10000","7","","卧槽！激动的我差点跟拜登一样[笑哭]"
"神级芝麻酥","保密","无IP","242557630","6","三周年恋曲","10000","7","7","周深呢？有吗？"
"小叮当VRV","男","无IP","448876086","5","","10000","7","","干翻原神崩坏永存。[doge]"
"憨色家の糕团","保密","无IP","293598408","6","泠鸢yousa登门喜鹊","10000","7","","噢[登门喜鹊_好耶]！这就是小天使说的“双马尾”[登门喜鹊_摆摆摆][登门喜鹊_好耶][登门喜鹊_没羞没臊][登门喜鹊_鸢飞冲天]"
"老东西没有金币辣","男","无IP","112245604","5","","10000","6","","。。。。 我忘了 录播gkd[脱单doge][脱单doge]"
"乌龙茶假面","保密","无IP","13478177","6","领风者","10000","6","","忘了时间了[大哭]录播gkd"
"罐头顶风作案","保密","无IP","437311743","5","","10000","6","","淦，怎么还没发录播[辣眼睛]"
"sakayoi","男","无IP","8365304","6","","10000","6","","大伟哥，是新游戏喔"
"Shadow流心","保密","无IP","27806399","6","","10000","6","5","原宝的线下音乐会结束了。,接下来轮到崩坏三了，没意见吧"
"纗綬戯め絔貹絍","男","无IP","23376147","6","","10000","6","","把一些宣传PV的BGM加加进来啊"
"神奇海螺呜呜呜","保密","无IP","673550912","5","","10000","6","","能特么把你们的bug好好改改行吗"
"可萝可御的观星","男","无IP","245493152","5","崩坏3·天穹流星","10000","6","6","封面做成皮肤吧，求你了米忽悠！！[给心心][给心心][给心心]"
"南琴夏柳","保密","无IP","355629651","5","","10000","6","","崩溃了，10月3号开学[大哭]"
"喂嘶嘞","男","无IP","2070106","6","至尊戒","10000","6","","这次真的把原神干翻了哈哈哈[呲牙]"
"-Flaming-","保密","无IP","299866941","6","","10000","6","6","我将坠入黑暗，换你回到光明,原神这才黑暗了几天啊，不讲武德[doge]"
"49号泡沫","保密","无IP","19718032","6","","10000","6","","我厌恶MHY这家公司，但这和我喜欢HOYO-MiX的音乐并不冲突[吃瓜][藏狐]"
"泪TAT","保密","无IP","12083180","6","崩坏3·天穹流星","10000","6","10","周深是太忙了吗？[崩坏3_看书]"
"爱学习的14","男","无IP","17346318","6","","10000","6","","周深呢？这差个人啊[doge]"
"XPRTAM","男","无IP","692618336","5","hanser","10000","6","","双馬尾 跳舞！！"
"痛苦实验期","保密","无IP","87191995","6","崩坏3·天穹流星","10000","6","8","我的假期被米哈游安排的明明白白的[原神_哼]"
"如风逐影","男","无IP","27967495","6","RNG战队","10000","6","","我超，怎么时间这么凑巧，开始纠结看s赛还是看直播[笑哭]"
"誓约の王之圣剑","保密","安徽","389409636","5","实验品家庭","10000","6","10","第二个演唱会要来力"
"硫o哈哈","保密","无IP","5163899","6","","10000","5","10","这么久了还没上传？"
"卍九霄卍","男","无IP","38310353","6","","10000","5","7","录播呢"
"mhy是个动画公司","保密","无IP","1780971850","5","","10000","5","","呜呜呜我错过了,没有录播妈"
"残叶的红","男","无IP","17781731","6","洛天依8th生日纪念","10000","5","","这次我就俩遗憾，一个是请不来萨顶顶唱希儿的歌，一个是芽衣的音乐剧放在了两个燃的节目中间，本来都铺垫到位了，感觉马上就要爆发就要开唱了，结果突然来个安静的音乐剧，气氛没接上，断了一口气，把音乐剧放在歌后面感觉会更好。"
"秀生辉","男","无IP","109064734","6","Kizuna AI","10000","5","8","可恶啊，不仅三房都还说不了话，只能在这说了。woc，真的有大的，星穹铁道！"
